Gene_names;Protein_ID;430;434;442;480;490;486;462;452;504;484;432;410;464;478;438;454;466;488;436;512;518;448;450;470;520;460;474;530;524;446;456;522;444;510;414;476;468;440;412;482
Gm20730;A0A075B5J6;;;212951.7656;;;;51347.42969;70616.49219;;;;;;;;70236.04688;;;;;;;;49791.76953;64336.25781;;;345105.3438;;44781.44922;101461.7344;;105873.4453;175648.1094;;;;;;
Igkv17-127;A0A075B5J9;;32740.0957;32731.21875;;;20099.09375;34485.59766;43017.48047;69781.74219;29231.73633;;14247.63086;12091.30762;;21052.10156;19881.69336;32757.65234;;23070.12891;25548.35938;10094.4502;10632.03809;13355.81055;;28211.53125;34624.79688;23679.62695;32020.57031;32199.0293;44429.29297;30057.0625;;;34578.82813;21106.44727;;14504.51563;;36369.17578;
Igkv14-126;A0A075B5K0;55205.24219;31481.03516;90646.8125;;161192.5313;210865.2188;36175.01563;156567.7188;161507.4688;82236.60938;176426.5;83147.66406;39747.14453;68365.25;76997.74219;51263.67188;74308.17188;54911.53125;75774.21094;172016.2656;60138.0625;37452.84375;60533.23828;16886.9375;53378.88672;107243.9844;39450.35938;73793.64063;62938.50781;47029.88281;55759.76563;84919.05469;39762.79688;60859.93359;129026.4063;65521.32031;109830.1094;70345.71875;63234.6875;23934.50195
Igkv9-124;A0A075B5K2;234701.5313;152532.6563;503213.4063;226314.4063;251109.2969;186743.5;233105.1875;184023.0781;162314.5313;203106.3125;240130.625;248658;119731.7656;89321.71094;113800.9063;161015.7969;192930.875;313869.4688;147006.0313;244235.8906;158167.2656;94489.45313;109041.4063;88470.94531;272444.625;206371.7188;241842.2031;324254.9688;467903.3125;348158.25;142323.6406;165459.375;133411.4688;169937.0313;318765.1563;126926.1406;196352.5469;128976.6641;261311.0625;74333.19531
Igkv14-100;A0A075B5K7;207342.9063;232929.2188;134948.0938;163740.9844;363402.0938;174900.9844;201773.7969;134198.9531;226219.3125;256880.5781;140220.5469;93961.72656;97721.33594;120191.8594;88719.58594;183814.0313;198271.3594;297138.25;301159.2813;168810.0781;314780.3438;133690.2813;157183.4063;136539.7656;403389.9688;170509.2656;231038.0156;263056.375;143155.7969;124698.7656;89163.59375;218733.0938;255223.4688;477858.8438;233960.0938;113976.7891;301792.3438;286382.9688;293251.125;270101.3438
Igkv12-98;A0A075B5K9;102387.1016;228037.2344;98366.63281;20673.5;104407.0078;110854.6563;74087.59375;127437.6484;133759.9531;145139.0625;179848.3594;76367.75781;77611.11719;70516.71875;58825.49609;89539.16406;62819.34375;172387.3438;121269.0547;105126.3594;213874.25;95363.49219;98992.96094;62692.79297;148177.0781;107573.6641;104977.5859;216185.2813;1329451.625;116968.0469;55691.69531;822151;94375.875;292663.9688;109286.6484;242594.7969;72540.83594;115662.1328;305842.9688;51844.26172
Igkv4-80;A0A075B5L7;40075.75781;44004.91797;31609.60938;;56442.4375;40308.78906;264187.25;51386.46484;41124.44141;25465.56836;46674.13672;51301.76563;;36086.88672;32398.81641;140331.3125;45285.07813;38768.05078;26175.44141;33084.58203;51790.38281;;24760.99023;;52423.91406;43281.48438;61559.10547;33948.46094;97468.69531;80965.03906;38431.27734;50427.14453;69751.48438;30469.66992;52601.60547;131883.875;24577.18555;53039.25781;53264.10156;21114.70703
Igkv4-63;A0A075B5M1;66643.02344;65350.25781;85776.71875;54877.50391;78890.14063;96551.66406;79536.67969;128668.9453;77095.60156;163778.9063;53724.15234;57010.03125;41605.45313;61909.22656;40352.64844;107159.3281;43112.94141;332291.6875;107904.5313;104840.6094;80715.17188;59163.81641;100377.9531;52679.75;66490.99219;156424.4219;56343.83984;151618.1875;93576.52344;48632.31641;300517.75;95939.24219;39596.41016;110080.0781;95828.5625;60688.25391;31909.58008;74495.42969;86155.6875;39790.74219
Igkv4-58;A0A075B5M3;918815.75;624090.0625;951011.3125;1050215.5;1456869.375;1228599.875;1695305;1260425.75;1039441.313;970509.5625;1346943.25;625905.4375;459510.5;364374.6563;460104.1875;2417226.75;1038863.938;956382.375;2617976;1320104.75;2692252;795887.4375;795247.875;962680.6875;667819.25;1080646.75;2204472.75;1528308.375;2461778.75;1371341.875;1365167.875;1109990.25;2013114;1065346;1101132.625;868443.125;511599.625;831278.25;636549.1875;418631.1875
Igkv4-57-1;A0A075B5M4;55650.33203;35422.6875;78808.46094;;46712.25;50248.36719;46658.375;29098.36914;40385.25;54711.13281;30211.13477;18437.41406;13865.33887;9651.772461;26322.80078;39213.22266;10423.03711;25933.17578;52597.64063;44409.28125;26824.44531;;32001.99219;;73998.39063;107553.8125;41511.17578;47310.94531;65600.00781;24018.78516;237818.9219;58455.53125;32693.23633;37862.30859;73503.32813;59774.60547;35975.82813;47261.14844;60885.17969;23604.16406
Igkv5-39;A0A075B5M7;1324898.875;550629.375;1179965.75;1186120.5;1214851;1779892.375;1902550.875;1877404.75;1008170.5;919261.5;819338.625;924837.1875;1129215.5;850653.875;1194042.625;937893.0625;701257.5;1093205.5;1112556.75;961954.8125;1406138;561410.9375;793539.3125;552209.4375;636144.8125;2486218.25;1127210;1747730.5;1632383.25;885949.9375;1238958.875;783775;782709.4375;1035696.813;1409732.5;1076771.75;648117.25;1513903.375;1078200;3764954
Igkv12-38;A0A075B5M8;86890.60156;79158.45313;31767.16016;54632.78516;79716.19531;131180.2969;205547.625;184343.8438;159448.5938;21224.80273;25584.92188;10585.22754;9401.976563;19941.59961;63229.37891;127720.0547;44163.42578;70692.90625;169768.5313;172128.875;235866.5781;63182.32813;78198.58594;98506.47656;150294.5625;167539.8906;26235.54688;127504.6406;74929.65625;181569.7188;36958.02344;163072.9688;10346.21973;186375.5625;118017.1953;43373.46094;55966.15625;89340.27344;47643.58984;61910.08203
Igkv6-29;A0A075B5N2;30767.64063;25762.53125;46110.78906;;92139.1875;50503.11719;61928.15625;39793.32031;21948.64648;82001.17969;24471.2793;23729.69727;14792.06152;;38499.60156;39239.23438;50056.44141;63127.56641;31222.03125;42950.28125;28816.52734;83917.16406;48661.30859;17982.32617;30982.1543;47285.32813;34656.97656;129074.2969;158304.4219;28237.54883;52861.8125;38343.52734;64536.42578;39360.15625;46201.47656;31527.88672;23423.02734;18867.21289;47312.46875;
Igkv8-28;A0A075B5N3;559238.4375;364341.9375;459803.4063;373625.4688;437517.9375;570642.8125;754981.625;1280430.25;759886.625;528406.1875;854991.125;414173.9375;318024.0625;1191741.875;284884.75;539888.5;314877.4063;697387.875;391247.75;476527.75;370862.4063;305009;406694.0625;267050.3125;542726.5625;710010.5625;710663.875;850584.375;726339.5;971328.125;667527.3125;555670.875;380162.5938;527714.75;651119.6875;560745.6875;354496.4063;321026.375;497943.5313;299129.6563
Igkv8-27;A0A075B5N4;149013.75;120173.25;227574.9844;63526.07422;181710.0781;189427.6563;100954.8672;414296.8125;153362.2188;171922.4063;263687.3438;72390.38281;63281.99219;86912.04688;110463.6328;464383.125;127758.1328;162921.0156;187661.4063;133332.3906;117635.9688;43405.67188;449660.6875;102442.1563;213987.0156;79421.22656;217294.3906;381326.5938;150207.4375;127319.8359;180311.5625;129456.4844;281500.1563;192532.2813;162164.8906;146503.6563;132840.4844;168109.625;110418.4688;118627.0859
Igkv6-13;A0A075B5N7;571881.75;412427.3438;1253713.25;398921.8438;514859.6875;763378.4375;1224171.375;727188.3125;634445.25;346326.7188;461546.8125;540021.625;232155.0938;274522.9688;557505.4375;966949.5625;485109.5938;1144327.875;1065531.375;490421.125;672701;538006.6875;287334.5625;261599.9063;860276.8125;753505.3125;428083.9688;876386.6875;653002.4375;876547.3125;829444.625;771243.375;685541.8125;729257.5;1278673.875;413725.1875;360566.0313;662524.5;833130.5;293043.0938
Igkv3-7;A0A075B5N9;308980.9375;394357.7188;460651.4063;149869.0469;694066.9375;331670.1875;508201.8438;670062.0625;733141.8125;498243.875;284551.7813;111389.2344;255815.4531;125413.8359;276315.0938;486618.125;375409.4063;637185.6875;725526.75;627587.8125;452948.875;392973.4063;353687.375;155769.6875;270691.3438;525041.6875;885197.4375;509934.4063;741511.625;471877.75;207287.4219;364469.3125;246150.7188;809311.125;444172.7813;497522.5625;191636.4063;185113.2188;194337.7031;312250
Igkv3-1;A0A075B5P1;36452.10547;24330.58008;13813.7334;;199230.8281;228536.5;43056.875;149322.0469;391844.75;35324.89844;86655.69531;49070.14063;6019.520996;;25007.41211;204195.6719;12842.8291;40852.57813;327957.0313;15770.80859;49873.30078;12476.77246;49270.82813;3026.203613;27948.16211;19777.93945;;949005.875;26293.83984;56785.29688;46108.92188;43062.09766;6893.934082;104787.6328;72316.41406;22190.54688;5813.811523;115327.0703;42004.22656;10448.43262
Ighg2b;A0A075B5P3;28489128;32045182;39960692;14138758;43255156;47232500;61365684;56306616;48841012;45265640;30384622;21353704;16194294;17742496;34787712;39985528;26526470;36541676;65464756;43517920;44536620;18248228;46194400;13814785;43867760;45543008;16068346;59802000;57290600;70997136;35838212;36770136;36777932;46872680;53671672;17617224;22331488;38351532;27547230;17438972
Ighg1;A0A075B5P4;5211954.5;3934713;7164327.5;8174217.5;3570826.25;3653168.5;4731999.5;7932990.5;3374811;3686167.5;5622992;4951642;3600221.75;4381348.5;3778894;6916286.5;3800161.75;3732870.75;4137558.75;5187416.5;4364374.5;3841481;5757754;5973237;4273611;1875920.375;8664130;7761864;12762189;8670642;8837734;7309120.5;3637233;5382168;6867429;7226634;4794494.5;3489256.25;8550754;5909558
Ighg3;A0A075B5P5;2293494.25;1822364.25;6593413;2336673.75;3402581.75;1498622;2623907.25;5383574.5;2843096.5;2984774;2266324.25;2174827.5;2160314.5;3391631.25;2421273;3029452.5;2513182.5;2804432;348516.0625;1688687.375;1851514.25;2089883.375;3375627.75;1147056;1344772.625;4365610.5;3162831.25;4951000;2883423;2731792.75;5566872.5;2914958;3725290;1419548;3124362.25;3455003.5;1136892.5;2228709.5;2586446.5;1247300.5
